CountyID,ConstituencyID
1,29
1,89
1,90
1,91
1,92
1,227
1,314
1,408
1,412
1,573
1,624
2,34
2,346
2,347
2,360
2,402
2,524
3,74
3,349
3,385
3,459
3,460
3,503
3,628
3,634
4,18
4,32
4,98
4,131
4,370
4,371
4,643
5,109
5,293
5,403
5,417
5,446
5,508
5,512
6,140
6,149
6,156
6,204
6,211
6,261
6,348
6,566
6,600
6,601
6,607
7,269
7,367
7,368
7,461
7,546
7,547
8,2
8,9
8,144
8,145
8,166
8,589
8,642
9,108
9,397
9,513
9,536
9,539
9,583
10,25
10,116
10,150
10,444
10,623
10,639
11,10
11,65
11,132
11,168
11,169
11,170
11,218
11,284
11,361
11,404
11,509
12,122
12,191
12,221
12,393
12,398
12,447
12,448
12,525
12,575
12,578
12,580
12,581
13,72
13,73
13,138
13,362
13,399
13,450
13,510
13,615
14,56
14,141
14,163
14,189
14,401
14,418
14,488
15,117
15,118
15,124
15,342
15,454
16,44
16,87
16,88
16,202
16,271
16,291
16,329
16,606
17,26
17,78
17,83
17,120
17,128
17,142
17,147
17,216
17,265
17,270
17,352
17,458
17,470
17,483
17,507
17,532
17,574
17,631
18,130
18,230
18,246
18,557
18,569
18,570
19,8
19,17
19,58
19,66
19,67
19,68
19,101
19,102
19,127
19,167
19,274
19,283
19,328
19,351
19,353
19,354
19,355
19,434
19,435
19,468
19,484
19,542
19,545
19,556
19,625
19,640
19,646
20,61
20,84
20,104
20,161
20,303
20,359
20,374
20,390
20,391
20,432
20,449
20,464
20,579
21,12
21,185
21,648
22,6
22,27
22,194
22,203
22,223
22,248
22,272
22,357
22,382
22,383
22,406
22,419
22,452
22,453
22,472
22,530
22,531
22,627
23,95
23,279
23,366
23,409
23,462
23,621
23,638
23,645
24,96
24,275
24,280
24,281
24,285
24,407
24,526
24,535
24,543
24,604
24,610
25,43
25,86
25,143
25,201
25,252
25,260
25,311
25,312
25,313
25,487
26,300
27,16
27,111
27,126
27,164
27,176
27,224
27,229
27,237
27,251
27,350
27,414
27,469
27,491
27,500
27,523
27,576
27,584
28,57
28,59
28,60
28,99
28,137
28,232
28,294
28,319
28,377
28,442
28,455
28,465
28,474
28,518
28,618
28,644
29,71
29,125
29,264
29,325
29,326
29,327
29,343
29,420
29,482
29,515
30,70
30,233
30,250
30,335
30,344
30,502
30,514
31,22
31,31
31,33
31,39
31,42
31,45
31,80
31,81
31,82
31,94
31,107
31,119
31,129
31,134
31,136
31,139
31,157
31,158
31,159
31,162
31,179
31,186
31,187
31,188
31,193
31,210
31,213
31,214
31,215
31,219
31,225
31,228
31,254
31,256
31,257
31,262
31,263
31,267
31,268
31,273
31,277
31,286
31,287
31,288
31,295
31,296
31,301
31,302
31,307
31,310
31,330
31,331
31,332
31,333
31,372
31,433
31,437
31,451
31,457
31,467
31,471
31,478
31,555
31,561
31,577
31,582
31,585
31,588
31,591
31,596
31,617
31,622
31,626
32,46
32,69
32,234
32,316
32,337
32,338
32,339
32,340
32,489
32,533
32,537
32,538
32,593
32,629
32,630
33,93
33,253
33,363
33,410
33,421
33,425
33,426
33,516
33,527
34,266
34,466
34,486
34,490
34,501
34,572
34,649
34,650
35,151
35,165
35,308
35,423
35,424
35,517
35,608
36,35
36,36
36,37
36,38
36,190
36,196
36,226
36,231
36,317
36,365
36,392
36,395
36,400
36,506
36,511
36,553
36,587
36,620
37,41
37,63
37,282
37,597
38,15
38,28
38,97
38,236
38,356
38,384
38,427
38,428
38,429
38,480
38,497
39,20
39,278
39,438
39,439
39,598
39,632
40,79
40,375
41,3
41,4
41,5
41,11
41,13
41,19
41,21
41,40
41,105
41,121
41,146
41,160
41,180
41,181
41,182
41,183
41,184
41,192
41,195
41,197
41,198
41,205
41,206
41,207
41,208
41,209
41,222
41,238
41,239
41,240
41,241
41,242
41,243
41,244
41,245
41,247
41,297
41,298
41,309
41,315
41,318
41,336
41,341
41,369
41,376
41,379
41,380
41,396
41,405
41,431
41,436
41,440
41,441
41,445
41,473
41,481
41,544
41,612
41,616
42,345
42,411
42,499
42,568
42,571
43,85
43,505
43,567
43,609
43,647
44,112
44,113
44,114
44,115
44,590
45,23
45,24
45,173
45,174
45,175
45,443
45,475
45,476
45,492
45,493
45,494
45,495
45,496
45,611
46,100
46,110
46,334
46,389
46,520
46,540
46,541
46,548
46,549
46,550
46,551
46,565
47,103
47,123
47,299
47,521
47,558
47,605
47,619
48,199
48,217
48,220
48,255
48,373
48,463
48,479
48,528
48,534
48,560
48,633
49,62
49,235
49,290
49,304
49,386
49,387
49,388
49,415
49,519
49,559
49,586
49,603
50,306
50,416
50,430
50,477
50,554
50,602
51,1
51,249
51,381
51,563
51,564
52,7
52,47
52,48
52,49
52,50
52,51
52,52
52,53
52,54
52,55
52,152
52,153
52,154
52,177
52,178
52,258
52,358
52,504
52,552
52,562
52,594
52,595
52,599
52,613
52,614
52,635
52,636
52,637
53,14
53,64
53,133
53,155
53,200
53,289
53,364
53,641
54,30
54,75
54,76
54,77
54,106
54,148
54,172
54,212
54,259
54,276
54,292
54,305
54,320
54,321
54,322
54,323
54,324
54,378
54,394
54,456
54,498
54,592
55,135
55,171
55,413
55,422
55,485
55,522
55,529
